,發生時間,死亡受傷人數,車種,經度,緯度
163,108年01月01日 07時26分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,118.446215,24.454174
164,108年01月01日 07時26分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.959503,24.798952
165,108年01月01日 07時27分00秒,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,121.36381899999999,25.064324
166,108年01月01日 07時30分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,120.156935,23.196958
167,108年01月01日 07時30分00秒,死亡0;受傷1,普通重型-機車,120.643946,23.420406
168,108年01月01日 07時30分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.448828,25.019825
169,108年01月01日 07時30分32秒,死亡0;受傷1,普通重型-機車,120.875031,24.728811999999998
170,108年01月01日 07時31分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,120.368103,22.538357
171,108年01月01日 07時33分16秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.68761,23.9053
172,108年01月01日 07時34分00秒,死亡0;受傷1,普通重型-機車,121.44158600000002,24.969673
173,108年01月01日 07時35分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;其他特種車-特種車,120.311228,22.602279
174,108年01月01日 07時40分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.64078799999999,24.149885
175,108年01月01日 07時40分42秒,死亡0;受傷2,普通重型-機車;普通重型-機車,121.804594,24.646451000000003
176,108年01月01日 07時41分00秒,死亡0;受傷3,腳踏自行車-慢車;普通重型-機車;乘客-人,120.693274,24.140398
177,108年01月01日 07時42分00秒,死亡0;受傷3,普通重型-機車;普通輕型-機車;乘客-人,120.66386100000001,24.150819
178,108年01月01日 07時43分00秒,死亡0;受傷2,行人-人;普通重型-機車,120.216627,23.006018
179,108年01月01日 07時45分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.612389,24.00664
180,108年01月01日 07時47分00秒,死亡0;受傷1,普通重型-機車,120.360654,22.599788
181,108年01月01日 07時48分00秒,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車,120.32270600000001,22.579295000000002
182,108年01月01日 07時48分00秒,死亡0;受傷1,普通重型-機車;其他特種車-特種車,120.71979499999999,24.131267
183,108年01月01日 07時50分00秒,死亡0;受傷2,自用-小客車;自用-小客車;遊覽車-大客車;自用-小客車,121.37478200000001,25.053501
184,108年01月01日 07時50分00秒,死亡0;受傷2,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,121.179847,24.096244
185,108年01月01日 07時50分00秒,死亡0;受傷2,行人-人;普通重型-機車,120.523141,22.617465
186,108年01月01日 07時50分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.67596599999999,24.143913
187,108年01月01日 07時54分21秒,死亡0;受傷1,普通重型-機車,120.99734199999999,24.8937
188,108年01月01日 07時57分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.47169099999999,25.021420000000003
189,108年01月01日 08時00分00秒,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,120.733774,22.041492
